Date,Jurisdiction,State,Type,Link
"Jul, 2023",Cascade Locks Port Authority,OR,Cancellation,https://www.datacenterdynamics.com/en/news/cascade-locks-port-authority-cancels-plans-for-data-center-in-oregon/
"Jul, 2024",DeKalb County,GA,Moratorium,https://www.wsbtv.com/news/local/dekalb-county/dekalb-county-approves-100-day-moratorium-data-center-applications-permits/H2K5IN25NBFKZLHESW3E7WD334/
"Jul, 2024",North Tonawanda,NY,Moratorium,https://www.govtech.com/policy/north-tonawanda-n-y-bans-new-crypto-mining-for-2-years
"Sep, 2024",City of Atlanta,GA,Permanent location-specific ban,https://www.gpb.org/news/2024/09/04/atlanta-city-council-bans-data-centers-along-beltline
"Sep, 2024",Fairfax County,VA,Restrictive zoning ordinance,https://www.datacenterfrontier.com/site-selection/article/55139905/northern-virginias-fairfax-county-tightens-data-center-rules
"Oct, 2024",City of Thorndale,TX,Formal resolution opposing,https://theminermag.com/news/2024-10-11/thorndale-bitcoin-mine-oppose
"Oct, 2024",City of Peculiar,MO,Full ban (removed from zoning),https://www.kshb.com/news/local-news/peculiar-reverses-zoning-for-data-center-after-cries-from-neighbors
"Nov, 2024",Gilmer County,GA,Full crypto ban,https://www.gpb.org/news/2025/12/04/the-costs-of-crypto-mining-in-georgia-will-it-be-regulated-along-new-data-center
"Dec, 2024",Milam County,TX,Location restriction,https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/
"Feb, 2025",Marshall County,IN,Moratorium,https://www.datacenterwatch.org/report
"Mar, 2025",Douglas County,GA,Moratorium,https://www.fox5atlanta.com/news/douglas-county-data-centers-moratorium
"Mar, 2025",Loudoun County,VA,Eliminated by-right development,https://www.hklaw.com/en/insights/publications/2025/04/loudoun-county-virginia-eliminates-by-right-data-center-development
"May, 2025",Coweta County,GA,Moratorium,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
"Jun, 2025",Henrico County,VA,Provisional Use Permit requirement,https://www.12onyourside.com/2025/06/11/henrico-board-supervisors-passes-stricter-requirements-data-centers/
"Jul, 2025",Town of Warrenton,VA,Full ban,https://www.fauquier.com/news/town-council-votes-to-ban-data-centers-from-warrenton/article_0f58d64e-f89e-4dbd-8825-c06e65f1a4b7.html
"Aug, 2025",City of St. Charles,MO,Full moratorium,https://www.stltoday.com/news/local/st-charles/article_cc69ee91-9269-42c1-8a23-5a93d1c05679.html
"Sep, 2025",Clayton County,GA,Moratorium,https://www.claytoncountyga.gov/news/clayton-county-board-of-commissioners-approves-moratorium-on-new-data-centers-in-clayton-county/
"Sep, 2025",Troup County,GA,Moratorium,https://www.11alive.com/article/news/local/troup-county-moratorium-on-data-centers/85-87d5c110-12db-4a48-88dd-70bda4ac47c9
"Sep, 2025",Prince George's County,MD,Moratorium,https://conduitstreet.mdcounties.org/2025/09/24/prince-georges-pauses-data-center-approvals-amid-policy-review/
"Sep, 2025",City of LaGrange,GA,Moratorium,https://www.wsbtv.com/news/local/lagrange-city-council-passes-180-day-moratorium-data-centers/LFCNYS3HWRE3VJJAJBBLRT3COA/
"Sep, 2025",Pike County,GA,Moratorium,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
"Sep, 2025",Lamar County,GA,Moratorium,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
"Oct, 2025",White County,IN,Moratorium,https://www.datacenterwatch.org/report
"Nov, 2025",Putnam County,IN,Moratorium,https://www.datacenterwatch.org/report
"Dec, 2025",Monroe County,GA,Moratorium,https://www.13wmaz.com/article/news/local/forsyth-monroe/monroe-county-passes-data-center-moratorium-will-review-potential-limitations/93-195cbb55-5a2a-4f29-879f-c0f3f859aef2
"Dec, 2025",Athens-Clarke County,GA,Moratorium,https://www.wuga.org/local-news/2025-12-03/acc-commission-pauses-new-data-centers-manager-says-athens-studios-data-center-would-need-rezone